"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"16/03/2024";"0000";"23,1";"23,3";"23,1";"90,0";"90,0";"88,0";"21,4";"21,4";"21,1";"957,0";"957,2";"956,7";"2,9";"51,0";"8,0";"";"0,0"
"16/03/2024";"0100";"22,2";"23,2";"22,1";"94,0";"94,0";"90,0";"21,1";"21,5";"20,9";"957,4";"957,7";"956,7";"0,5";"291,0";"5,8";"";"0,0"
"16/03/2024";"0200";"21,8";"22,3";"21,7";"92,0";"94,0";"92,0";"20,5";"21,3";"20,4";"957,3";"957,6";"957,3";"1,2";"176,0";"4,2";"";"0,0"
"16/03/2024";"0300";"21,4";"21,8";"21,3";"90,0";"92,0";"90,0";"19,6";"20,5";"19,6";"957,0";"957,5";"957,0";"1,5";"87,0";"2,6";"";"0,0"
"16/03/2024";"0400";"21,5";"22,0";"21,3";"88,0";"90,0";"88,0";"19,4";"20,0";"19,4";"956,8";"957,0";"955,8";"0,7";"152,0";"5,5";"";"0,0"
"16/03/2024";"0500";"20,8";"21,5";"20,8";"88,0";"88,0";"88,0";"18,7";"19,4";"18,7";"956,5";"956,8";"956,5";"0,8";"164,0";"3,0";"";"0,0"
"16/03/2024";"0600";"21,0";"21,1";"20,8";"87,0";"88,0";"87,0";"18,8";"18,9";"18,7";"956,1";"956,5";"956,1";"1,9";"119,0";"3,4";"";"0,0"
"16/03/2024";"0700";"20,8";"21,0";"20,8";"87,0";"87,0";"87,0";"18,6";"18,8";"18,6";"955,5";"956,1";"955,5";"2,3";"78,0";"3,8";"";"0,0"
"16/03/2024";"0800";"20,4";"20,8";"20,4";"87,0";"87,0";"87,0";"18,1";"18,6";"18,1";"955,9";"955,9";"955,5";"1,7";"77,0";"4,2";"";"0,0"
"16/03/2024";"0900";"20,1";"20,4";"20,1";"88,0";"88,0";"87,0";"18,1";"18,2";"18,0";"956,3";"956,4";"955,8";"1,7";"78,0";"3,3";"";"0,0"
