"nome_estacao";"data_dia";"data_semana";"data_mes";"data_ano";"lon";"lat";"chuva";"vento";"press";"temp";"umidade";"rajada";"amp"
"ALEGRETE";2022-01-01;"2022-1";"2022-1";2022;-55,53;-29,71;0;1,5125;989,470833333333;29,45;51,6666666666667;14,3;18,3
"BAGE";2022-01-01;"2022-1";"2022-1";2022;-54,01;-31,35;0;2,97083333333333;979,2875;27,3208333333333;52,5416666666667;18,2;18,7
"BENTO_GONCALVES";2022-01-01;"2022-1";"2022-1";2022;-51,53;-29,16;0;2,76086956521739;936,230434782609;26,2347826086957;51,8260869565217;9,2;15,2
"CACAPAVA_DO_SUL";2022-01-01;"2022-1";"2022-1";2022;-53,47;-30,55;0;2,247;958,116666666667;26,6541666666667;52,5416666666667;0;15,4
"CAMAQUA";2022-01-01;"2022-1";"2022-1";2022;-51,83;-30,81;0,2;0,7125;995,758333333333;24,4916666666667;73,3076923076923;6,6;12,9
"CAMBARA_DO_SUL";2022-01-01;"2022-1";"2022-1";2022;-50,15;-29,05;0;2,48260869565217;895,739130434783;20,3434782608696;79,7391304347826;9,4;15,6
"CAMPO_BOM";2022-01-01;"2022-1";"2022-1";2022;-51,06;-29,67;0;1,225;1002,80833333333;28,2416666666667;54,973;7,3;18,9
"CANELA";2022-01-01;"2022-1";"2022-1";2022;-50,83;-29,37;0;2,56;914,47;27,34;46,2;8,2;11,2
"CANGUCU";2022-01-01;"2022-1";"2022-1";2022;-52,7;-31,4;0;3,30416666666667;954,808333333333;24,2166666666667;70,2272727272727;9,8;15,1
"CAPAO_DO_LEAO_(PELOTAS)";2022-01-01;"2022-1";"2022-1";2022;-52,29;-31,45;0;3,26666666666667;1004,69166666667;25,7041666666667;79,375;10;8,6
"CRUZ_ALTA";2022-01-01;"2022-1";"2022-1";2022;-53,67;-28,6;0;2,17083333333333;956,766666666667;27,8333333333333;48,5;7,8;16,3
"DOM_PEDRITO";2022-01-01;"2022-1";"2022-1";2022;-54,62;-31;0;3,3125;987,0875;27,9666666666667;52,9583333333333;21,6;18,7
"ENCRUZILHADA_DO_SUL";2022-01-01;"2022-1";"2022-1";2022;-52,52;-30,54;0;1,5375;958,870833333333;26,0791666666667;59;6,9;17,3
"ERECHIM";2022-01-01;"2022-1";"2022-1";2022;-52,31;-27,66;0;1,20416666666667;921,0375;25,3833333333333;53,0833333333333;6,9;15,8
"FREDERICO_WESTPHALEN";2022-01-01;"2022-1";"2022-1";2022;-53,43;-27,4;0;0,933333333333333;950,216666666667;26,6958333333333;53,0416666666667;6,9;16,6
"JAGUARAO";2022-01-01;"2022-1";"2022-1";2022;-53,38;-32,53;0;0,620833333333333;1002,29166666667;26,2583333333333;76;16,4;14,4
"LAGOA_VERMELHA";2022-01-01;"2022-1";"2022-1";2022;-51,51;-28,22;0;2,24210526315789;914,021052631579;24,8105263157895;54,9473684210526;9,3;16,9
"PALMEIRA_DAS_MISSOES";2022-01-01;"2022-1";"2022-1";2022;-53,32;-27,92;0;2,075;936,729166666667;27,7291666666667;45,125;8;13,8
"PASSO_FUNDO";2022-01-01;"2022-1";"2022-1";2022;-52,4;-28,23;0;2,825;929,7125;26,6833333333333;48,9166666666667;7,7;16,3
"PORTO_ALEGRE_BELEM_NOVO";2022-01-01;"2022-1";"2022-1";2022;-51,18;-30,19;0;1,412;998,132;27,252;65,189;0;0
"PORTO_ALEGRE_JARDIM_BOTANICO";2022-01-01;"2022-1";"2022-1";2022;-51,17;-30,05;0;1,40416666666667;999,8375;27,3791666666667;66,25;8,5;14,4
"QUARAI";2022-01-01;"2022-1";"2022-1";2022;-56,44;-30,37;0;2,825;989,8625;29,2416666666667;47,4166666666667;25,8;19,7
"RIO_GRANDE";2022-01-01;"2022-1";"2022-1";2022;-52,17;-32,08;0;3,85833333333333;1005,82916666667;24,9541666666667;74,7083333333333;10,9;9
"RIO_PARDO";2022-01-01;"2022-1";"2022-1";2022;-52,38;-29,87;0;2,27083333333333;992,825;27,8083333333333;54,0416666666667;7,7;17,2
"SANTA_MARIA";2022-01-01;"2022-1";"2022-1";2022;-53,72;-29,72;0;1,90416666666667;992,720833333333;28,1291666666667;56,5833333333333;9,9;17,5
"SANTANA_DO_LIVRAMENTO";2022-01-01;"2022-1";"2022-1";2022;-55,4;-30,75;0,6;2,5625;982,458333333333;27,225;55,2916666666667;25,3;18
"SANTIAGO";2022-01-01;"2022-1";"2022-1";2022;-54,89;-29,19;0;1,99583333333333;960,358333333333;29,8375;40,0833333333333;7,6;15,8
"SANTO_AUGUSTO";2022-01-01;"2022-1";"2022-1";2022;-53,79;-27,85;0;0,00416666666666667;950,020833333333;28,2625;54,125;4,8;16
"SAO_BORJA";2022-01-01;"2022-1";"2022-1";2022;-56,02;-28,65;0;2,34583333333333;993,7625;31,5;40,1666666666667;9;15,8
"SAO_GABRIEL";2022-01-01;"2022-1";"2022-1";2022;-54,31;-30,34;0;2,1125;991,625;29,0375;51,125;17,6;17,9
"SAO_JOSE_DOS_AUSENTES";2022-01-01;"2022-1";"2022-1";2022;-50,06;-28,74;0,2;2,411;873,15;18,5083333333333;81,5416666666667;0;14,2
"SAO_LUIZ_GONZAGA";2022-01-01;"2022-1";"2022-1";2022;-54,96;-28,42;0;2,29166666666667;976;31,85;41,5;7,1;14,1
"SAO_VICENTE_DO_SUL";2022-01-01;"2022-1";"2022-1";2022;-54,69;-29,7;0;2,46666666666667;988,6125;28,925;51,4583333333333;8,1;20,2
"SERAFINA_CORREA";2022-01-01;"2022-1";"2022-1";2022;-51,87;-28,7;0,2;0,879166666666667;950,1375;25,7416666666667;60,4583333333333;7,1;19,5
"SOLEDADE";2022-01-01;"2022-1";"2022-1";2022;-52,54;-28,86;0;3;931,9125;26,8333333333333;47,7083333333333;8,6;14,8
"TEUTONIA";2022-01-01;"2022-1";"2022-1";2022;-51,82;-29,45;0;1,9125;996,141666666667;28,8291666666667;51,4166666666667;9,9;19,6
"TRAMANDAI";2022-01-01;"2022-1";"2022-1";2022;-50,14;-30,01;0;1,801;1006,11666666667;22,0875;61,5;0;5,9
"TUPANCIRETA";2022-01-01;"2022-1";"2022-1";2022;-53,83;-29,09;0;1,78333333333333;953,645833333333;28,6666666666667;48,8333333333333;7,8;14,6
"URUGUAIANA";2022-01-01;"2022-1";"2022-1";2022;-57,08;-29,75;0;4,55;994,154166666667;29,9166666666667;47,7083333333333;23,8;18,5
"VACARIA";2022-01-01;"2022-1";"2022-1";2022;-50,88;-28,51;0;2,21666666666667;899,866666666667;22,5916666666667;61,7083333333333;7,1;17,6
"ALEGRETE";2022-01-02;"2022-1";"2022-1";2022;-55,53;-29,71;0;1,87083333333333;990,925;26,4833333333333;61,1666666666667;10,4;13,8
"BAGE";2022-01-02;"2022-1";"2022-1";2022;-54,01;-31,35;9,2;3,3875;980,7875;22,4416666666667;75,0833333333333;12,7;11,4
"BENTO_GONCALVES";2022-01-02;"2022-1";"2022-1";2022;-51,53;-29,16;0;4,2875;937,6375;25,8958333333333;57,4583333333333;16,7;15,7
"CACAPAVA_DO_SUL";2022-01-02;"2022-1";"2022-1";2022;-53,47;-30,55;1,6;2,785;959,104166666667;23,3083333333333;70,7916666666667;0;11,4
"CAMAQUA";2022-01-02;"2022-1";"2022-1";2022;-51,83;-30,81;2,4;0,741666666666667;996,770833333333;23,225;91,1;8,6;10,2
"CAMBARA_DO_SUL";2022-01-02;"2022-1";"2022-1";2022;-50,15;-29,05;5,2;3,13333333333333;897,2375;22,6333333333333;65,2173913043478;14,9;15,8
"CAMPO_BOM";2022-01-02;"2022-1";"2022-1";2022;-51,06;-29,67;9;1,05833333333333;1003,76666666667;27,8875;57,974;13,6;20,5
"CANELA";2022-01-02;"2022-1";"2022-1";2022;-50,83;-29,37;0;3,425;915,6625;29,3625;43,375;8,3;11,2
"CANGUCU";2022-01-02;"2022-1";"2022-1";2022;-52,7;-31,4;2,6;3,55833333333333;956,008333333333;21,2791666666667;83,9166666666667;11,1;7,2
"CAPAO_DO_LEAO_(PELOTAS)";2022-01-02;"2022-1";"2022-1";2022;-52,29;-31,45;0;2,63333333333333;1005,82916666667;24,2958333333333;85,125;10,1;4,4
"CRUZ_ALTA";2022-01-02;"2022-1";"2022-1";2022;-53,67;-28,6;6,6;3,325;957,6875;27,8625;51,5833333333333;13;15
"DOM_PEDRITO";2022-01-02;"2022-1";"2022-1";2022;-54,62;-31;2,4;4;988,3875;24,2083333333333;68,8333333333333;16,1;9,7
"ENCRUZILHADA_DO_SUL";2022-01-02;"2022-1";"2022-1";2022;-52,52;-30,54;9,2;2,49166666666667;959,904166666667;24,0625;68;14,1;16,3
