REGIAO:;NE
UF:;AL
ESTACAO:;PAO DE ACUCAR
CODIGO (WMO):;A323
LATITUDE:;-9,74916666
LONGITUDE:;-37,43083332
ALTITUDE:;20,83
DATA DE FUNDACAO:;14/07/07
Data;Hora UTC;PRECIPITAO TOTAL, HORRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m);TEMPERATURA DO AR - BULBO SECO, HORARIA (C);TEMPERATURA DO PONTO DE ORVALHO (C);TEMPERATURA MXIMA NA HORA ANT. (AUT) (C);TEMPERATURA MNIMA NA HORA ANT. (AUT) (C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREO HORARIA (gr) ( (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;;1010,5;1010,5;1009,9;;27,8;;28,4;27,7;;;;;;108;8,4;3,3;
2025/01/01;0100 UTC;;1010,7;1010,7;1010,5;;27,3;;27,8;27,3;;;;;;111;8;3,4;
2025/01/01;0200 UTC;;1010,6;1010,9;1010,5;;26,9;;27,3;26,9;;;;;;107;7,5;2;
2025/01/01;0300 UTC;;1010,3;1010,7;1010,3;;26,8;;26,9;26,7;;;;;;114;6,6;1,5;
2025/01/01;0400 UTC;;1009,7;1010,3;1009,7;;26,8;;26,8;26,6;;;;;;110;5,1;2,1;
2025/01/01;0500 UTC;;1009,5;1009,7;1009,5;;26,9;;26,9;26,7;;;;;;116;5,6;1,5;
2025/01/01;0600 UTC;;1009,6;1009,6;1009,5;;26,8;;26,9;26,8;;;;;;114;5,1;1,8;
2025/01/01;0700 UTC;;1009,7;1009,7;1009,6;;26,7;;26,8;26,7;;;;;;124;7,6;1,8;
2025/01/01;0800 UTC;;1010,1;1010,1;1009,7;;26,4;;26,7;26,4;;;;;;111;5,9;2;
2025/01/01;0900 UTC;;1010,6;1010,7;1010,1;95,8;26,8;;26,8;26,4;;;;;;115;5,4;1,9;
2025/01/01;1000 UTC;;1010,9;1010,9;1010,6;665,4;28,4;;28,5;26,8;;;;;;113;5,1;2,1;
2025/01/01;1100 UTC;;1011,4;1011,4;1010,9;1590,6;30;;30;28,4;;;;;;91;7,2;3,3;
2025/01/01;1200 UTC;;1011,3;1011,5;1011,3;2197,2;30,8;;31,6;29,2;;;;;;124;7,5;2,7;
2025/01/01;1300 UTC;;1010,8;1011,4;1010,8;3282,1;33;;33,5;30,8;;;;;;129;7,5;2,7;
2025/01/01;1400 UTC;;1010,1;1010,8;1010,1;3485,2;33,7;;34,8;32,5;;;;;;171;6,5;1,7;
2025/01/01;1500 UTC;;1009;1010,1;1009;2890,9;34,5;;35,4;33,3;;;;;;149;5,9;1,9;
2025/01/01;1600 UTC;;1007,7;1009;1007,7;3185,7;36,1;;36,6;34,1;;;;;;150;7,4;3,3;
2025/01/01;1700 UTC;;1006,6;1007,7;1006,6;3321,5;36,9;;37,3;35,9;;;;;;157;7,3;2,8;
2025/01/01;1800 UTC;;1005,7;1006,6;1005,7;2466,4;37;;37,7;36,4;;;;;;141;8,2;3,8;
2025/01/01;1900 UTC;;1005,7;1005,7;1005,5;1785,2;36,7;;37,6;36,6;;;;;;127;8,8;4,3;
2025/01/01;2000 UTC;;1006,3;1006,3;1005,7;863,7;34,5;;36,7;34,5;;;;;;118;9,4;4,8;
2025/01/01;2100 UTC;;1007,2;1007,2;1006,3;142,4;32;;34,5;32;;;;;;117;9,6;4,3;
2025/01/01;2200 UTC;;1008,2;1008,2;1007,2;;30,1;;32;30,1;;;;;;123;10,9;4,7;
2025/01/01;2300 UTC;;1009,3;1009,3;1008,2;;28,7;;30,1;28,7;;;;;;127;9,1;3,8;
2025/01/02;0000 UTC;;1010,2;1010,2;1009,3;;27,7;;28,7;27,7;;;;;;123;8,5;3,8;
2025/01/02;0100 UTC;;1010,7;1010,7;1010,2;;27;;27,7;27;;;;;;115;8;2;
2025/01/02;0200 UTC;;1010,5;1010,7;1010,5;;26,6;;27;26,5;;;;;;112;6,1;1,7;
2025/01/02;0300 UTC;;1010,1;1010,6;1010,1;;26,1;;26,6;26,1;;;;;;124;4,5;1,5;
2025/01/02;0400 UTC;;1010;1010,1;1010;;25,7;;26,1;25,7;;;;;;115;4;1;
2025/01/02;0500 UTC;;1009,9;1010,1;1009,8;;25,7;;25,9;25,5;;;;;;130;3,5;,5;
2025/01/02;0600 UTC;;1009,8;1009,9;1009,6;;26;;26,1;25,8;;;;;;132;4,4;,7;
2025/01/02;0700 UTC;;1010;1010;1009,7;;26;;26;25,9;;;;;;127;4,1;1,5;
