REGIAO:;NE
UF:;PE
ESTACAO:;IBIMIRIM
CODIGO (WMO):;A349
LATITUDE:;-8,50944444
LONGITUDE:;-37,71166666
ALTITUDE:;434,23
DATA DE FUNDACAO:;14/10/08
Data;Hora UTC;PRECIPITAO TOTAL, HORRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m);TEMPERATURA DO AR - BULBO SECO, HORARIA (C);TEMPERATURA DO PONTO DE ORVALHO (C);TEMPERATURA MXIMA NA HORA ANT. (AUT) (C);TEMPERATURA MNIMA NA HORA ANT. (AUT) (C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREO HORARIA (gr) ( (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;962,1;962,1;961,2;;29;;32,1;29;;;;;;159;10,8;5,8;
2025/01/01;0100 UTC;0;962,7;962,7;962,1;;27,3;;28,9;27,3;;;;;;165;11,1;4,1;
2025/01/01;0200 UTC;0;963;963,1;962,7;;26,1;;27,3;26,1;;;;;;168;7,5;4,1;
2025/01/01;0300 UTC;0;962,6;963;962,6;;25;;26,1;25;;;;;;146;7,1;2,2;
2025/01/01;0400 UTC;0;962,3;962,6;962,3;;24,5;;25,1;24,5;;;;;;144;5,1;2,5;
2025/01/01;0500 UTC;0;962,1;962,3;962,1;;24,1;;24,5;24,1;;;;;;143;4,9;2;
2025/01/01;0600 UTC;0;962,2;962,2;962;;23,2;;24,2;23,2;;;;;;131;3,2;1,6;
2025/01/01;0700 UTC;0;962,3;962,3;962;;22,7;;23,2;22,7;;;;;;138;2,9;2;
2025/01/01;0800 UTC;0;963;963;962,3;;22,3;;22,7;22,2;;;;;;142;3,1;1,7;
2025/01/01;0900 UTC;0;963,7;963,7;962,9;117,3;23,4;;23,5;22,1;;;;;;143;3,3;1,3;
2025/01/01;1000 UTC;0;964,1;964,1;963,7;1029,5;25,3;;25,7;23,4;;;;;;39;2,4;1,1;
2025/01/01;1100 UTC;0;964,6;964,6;964,1;938,9;25,7;;26;25,1;;;;;;65;3,3;1,2;
2025/01/01;1200 UTC;0;964,6;964,7;964,6;2331,2;27,9;;29;25,7;;;;;;360;4,6;1,4;
2025/01/01;1300 UTC;0;964,2;964,6;964,2;2815,8;29,1;;30,3;27,7;;;;;;7;4,9;1,9;
2025/01/01;1400 UTC;0;963,4;964,2;963,4;4904,9;31,9;;32,1;29,1;;;;;;3;4,9;1,5;
2025/01/01;1500 UTC;0;962,3;963,4;962,3;3797,6;32,5;;33,3;31,4;;;;;;285;4,5;2;
2025/01/01;1600 UTC;0;961,1;962,4;961,1;4720,7;34,8;;35,4;32,5;;;;;;235;5,9;2,2;
2025/01/01;1700 UTC;0;960,1;961,1;960,1;3880,6;35,9;;37,1;34,5;;;;;;105;5,2;1,9;
2025/01/01;1800 UTC;0;959,1;960,1;959,1;2911,1;36,2;;36,8;34,9;;;;;;150;10,8;2,2;
2025/01/01;1900 UTC;0;958,6;959,1;958,6;2053,8;37,2;;37,2;35,4;;;;;;146;9,9;3;
2025/01/01;2000 UTC;0;958,8;958,9;958,6;1207,1;35,2;;37,2;35,2;;;;;;136;9,4;4,4;
2025/01/01;2100 UTC;0;959,3;959,3;958,8;153,4;34,6;;35,3;34,6;;;;;;137;8,4;4,3;
2025/01/01;2200 UTC;0;960;960;959,3;;33,3;;34,6;33,3;;;;;;146;10;5,1;
2025/01/01;2300 UTC;0;961;961;960;;31,5;;33,3;31,5;;;;;;145;10;4,5;
2025/01/02;0000 UTC;0;962,2;962,2;961;;29,6;;31,5;29,6;;;;;;152;9,7;3,7;
2025/01/02;0100 UTC;0;962,7;962,7;962,2;;28,3;;29,6;28,3;;;;;;154;6,8;3,4;
2025/01/02;0200 UTC;0;963,1;963,1;962,6;;26,9;;28,3;26,9;;;;;;147;8,3;3,5;
2025/01/02;0300 UTC;0;962,7;963,1;962,7;;25,9;;26,9;25,9;;;;;;143;6,3;3;
2025/01/02;0400 UTC;0;962,6;962,8;962,6;;24,8;;25,8;24,8;;;;;;126;5,5;1,8;
2025/01/02;0500 UTC;0;962,6;962,6;962,5;;23,9;;24,9;23,9;;;;;;139;3,3;1,9;
2025/01/02;0600 UTC;0;962,4;962,6;962,3;;23,1;;23,9;23,1;;;;;;145;3,6;2,2;
2025/01/02;0700 UTC;0;962,6;962,6;962,4;;22,5;;23,1;22,4;;;;;;143;3,1;2,2;
2025/01/02;0800 UTC;0;963,3;963,3;962,6;;21,9;;22,6;21,9;;;;;;141;3,3;2;
2025/01/02;0900 UTC;0;964,3;964,3;963,3;107,7;23,1;;23,1;21,6;;;;;;135;2,9;1,4;
2025/01/02;1000 UTC;0;964,7;964,7;964,3;967,6;25,1;;25,1;23,1;;;;;;152;3,3;1,6;
2025/01/02;1100 UTC;0;964,8;964,8;964,7;2175,1;27,4;;28,1;25,1;;;;;;118;3,9;1,4;
2025/01/02;1200 UTC;0;964,9;964,9;964,8;3207,9;28,8;;29,4;27,1;;;;;;111;5,2;2,3;
2025/01/02;1300 UTC;0;964,5;964,9;964,5;3910;30,8;;30,9;28,5;;;;;;261;5,1;1,5;
2025/01/02;1400 UTC;0;963,5;964,5;963,5;3988,5;31,5;;33;30,6;;;;;;5;5,5;1,8;
2025/01/02;1500 UTC;0;962,6;963,5;962,6;4888,9;34,1;;35,1;31,4;;;;;;44;6,6;2,6;
2025/01/02;1600 UTC;0;961,6;962,6;961,6;4089,9;35,5;;36,1;33,2;;;;;;97;7,3;3,2;
2025/01/02;1700 UTC;0;960,7;961,5;960,7;4150,2;36,3;;37;34,9;;;;;;95;9;3,1;
2025/01/02;1800 UTC;0;959,9;960,7;959,9;2468,2;36,1;;36,7;34,7;;;;;;49;7,5;1,7;
2025/01/02;1900 UTC;0;959,8;960;959,7;2179,5;36;;36,6;35;;;;;;123;7,8;3,1;
2025/01/02;2000 UTC;0;959,8;959,8;959,6;1399,1;35,1;;36,1;35,1;;;;;;141;8,7;3,4;
2025/01/02;2100 UTC;0;960;960;959,7;247,1;33,6;;35,1;33,6;;;;;;130;7,3;3,3;
2025/01/02;2200 UTC;0;960,4;960,4;960;;32,5;;33,7;32,5;;;;;;138;6,4;2,9;
2025/01/02;2300 UTC;0;961,3;961,3;960,4;;31,2;;32,5;31,2;;;;;;154;6,7;3,3;
2025/01/03;0000 UTC;0;962;962;961,3;;29,9;;31,2;29,9;;;;;;148;8,6;4,6;
2025/01/03;0100 UTC;0;962,4;962,4;962;;28,3;;29,9;28,3;;;;;;154;8,3;3,2;
2025/01/03;0200 UTC;0;962,4;962,5;962,3;;27;;28,3;27;;;;;;154;6,9;2,4;
2025/01/03;0300 UTC;0;962,2;962,4;962,2;;25,9;;27;25,9;;;;;;140;5,5;2,1;
2025/01/03;0400 UTC;0;962;962,2;962;;25;;25,9;25;;;;;;152;5,6;2;
2025/01/03;0500 UTC;0;962;962;961,9;;24,1;;25;24,1;;;;;;122;3,9;1,7;
2025/01/03;0600 UTC;0;961,9;962;961,8;;23,4;;24,1;23,4;;;;;;142;3;1,4;
2025/01/03;0700 UTC;0;961,9;961,9;961,7;;22,5;;23,5;22,5;;;;;;148;3,4;1,8;
2025/01/03;0800 UTC;0;962,5;962,5;961,8;;21,8;;22,5;21,8;;;;;;137;3,2;1,8;
2025/01/03;0900 UTC;0;963,5;963,5;962,5;140;22,6;;22,6;21,6;;;;;;145;3,3;2;
2025/01/03;1000 UTC;0;964;964;963,5;1009,8;24,6;;24,8;22,6;;;;;;150;4,8;2,7;
2025/01/03;1100 UTC;0;964,3;964,4;964;2146,9;26,8;;26,9;24,3;;;;;;143;4,9;2,4;
2025/01/03;1200 UTC;0;964,2;964,3;964,2;3195,9;28,9;;29,3;26,5;;;;;;155;5,8;2,5;
2025/01/03;1300 UTC;0;963,7;964,2;963,6;4015,9;30,2;;30,8;28,7;;;;;;164;6,7;2,8;
2025/01/03;1400 UTC;0;962,8;963,7;962,8;4752,2;33,7;;33,8;30,1;;;;;;125;7,3;2,5;
2025/01/03;1500 UTC;0;961,8;962,8;961,8;4945,1;34,5;;35,6;33,2;;;;;;124;7,4;2,9;
2025/01/03;1600 UTC;0;960,9;961,8;960,9;4811,4;35,9;;36,6;34,2;;;;;;92;8,3;2,8;
2025/01/03;1700 UTC;0;959,8;960,9;959,8;4443,3;36,6;;37,4;35,8;;;;;;141;8,3;2,9;
2025/01/03;1800 UTC;0;959,1;959,8;959;3737,5;37,7;;37,7;36,3;;;;;;173;7,6;1,9;
2025/01/03;1900 UTC;0;958,9;959,1;958,8;2314,1;37,4;;37,9;36;;;;;;139;8,5;2,6;
2025/01/03;2000 UTC;0;958,8;958,9;958,7;1412,5;36;;37,4;36;;;;;;156;7,7;3,5;
2025/01/03;2100 UTC;0;959,1;959,2;958,7;325,7;34,8;;36,2;34,8;;;;;;152;8,4;4;
2025/01/03;2200 UTC;0;959,8;959,8;959,1;;33,3;;34,8;33,3;;;;;;164;7,9;3,1;
2025/01/03;2300 UTC;0;961,1;961,1;959,8;;31,8;;33,3;31,8;;;;;;154;8,5;3,7;
2025/01/04;0000 UTC;0;961,8;961,8;961,1;;29,7;;31,8;29,7;;;;;;167;9,7;4,7;
2025/01/04;0100 UTC;0;962,5;962,5;961,8;;28,1;;29,7;28,1;;;;;;171;10,1;4,4;
2025/01/04;0200 UTC;0;962,9;963;962,5;;26,8;;28,1;26,8;;;;;;155;7,8;3,2;
2025/01/04;0300 UTC;0;962,8;963,1;962,8;;26,1;;26,8;26,1;;;;;;149;5,6;3,1;
2025/01/04;0400 UTC;0;962,3;962,8;962,3;;25,4;;26,1;25,4;;;;;;137;5,7;2,5;
2025/01/04;0500 UTC;0;962,2;962,5;962,2;;24,6;;25,4;24,6;;;;;;130;4,1;2;
2025/01/04;0600 UTC;0;962,3;962,3;962,2;;24,1;;24,6;24;;;;;;138;3,8;1,9;
2025/01/04;0700 UTC;0;962;962,4;962;;23,6;;24,1;23,6;;;;;;133;3,8;1,9;
2025/01/04;0800 UTC;0;962,4;962,5;962;;23,3;;23,6;23;;;;;;119;3,4;1,4;
2025/01/04;0900 UTC;0;962,9;962,9;962,4;97,9;23,6;;23,6;22,7;;;;;;143;2,8;1,1;
2025/01/04;1000 UTC;0;963,4;963,4;962,9;901,2;26,7;;26,7;23,6;;;;;;78;5,5;2,3;
2025/01/04;1100 UTC;0;963,8;963,8;963,4;2043,3;28,6;;28,7;26,7;;;;;;63;6;2,2;
2025/01/04;1200 UTC;0;963,6;963,9;963,6;3078,4;29,9;;30,6;28,4;;;;;;57;6;2,5;
2025/01/04;1300 UTC;0;963,1;963,6;963,1;3945,3;32;;32,3;29,6;;;;;;51;6;2;
2025/01/04;1400 UTC;0;962,3;963,1;962,3;4564,1;33,4;;33,5;31,6;;;;;;14;4,9;2,1;
2025/01/04;1500 UTC;0;961,4;962,3;961,4;4852,1;35,4;;35,9;33,4;;;;;;15;5;2,1;
2025/01/04;1600 UTC;0;960,2;961,4;960,2;4834,1;36,5;;37,1;35,3;;;;;;24;5,4;2;
2025/01/04;1700 UTC;0;959,1;960,2;959,1;3405,7;36,5;;37,8;35,8;;;;;;46;4,5;1,5;
2025/01/04;1800 UTC;0;958,4;959,1;958,4;2578,7;37,3;;37,8;35,7;;;;;;17;5,9;2,6;
2025/01/04;1900 UTC;0;958,2;958,4;958,2;1070,4;35,8;;37,7;35,8;;;;;;57;5,6;2;
2025/01/04;2000 UTC;0;958,4;958,4;958,2;396,7;34;;36;33,9;;;;;;72;9,1;4,1;
2025/01/04;2100 UTC;0;958,6;958,6;958,4;70,7;34,1;;34,5;33,7;;;;;;89;8;3,7;
2025/01/04;2200 UTC;0;959,1;959,1;958,6;;33,4;;34,1;32,7;;;;;;91;7,9;2,1;
2025/01/04;2300 UTC;0;959,7;959,7;959,1;;32,4;;33,7;32,3;;;;;;71;6,2;1,7;
2025/01/05;0000 UTC;0;961;961;959,7;;30,6;;33,2;30,6;;;;;;161;6,9;3,3;
2025/01/05;0100 UTC;0;961,7;961,7;961;;29,5;;30,6;29,5;;;;;;130;6,3;2,1;
2025/01/05;0200 UTC;0;962;962,2;961,7;;28,9;;30;28,9;;;;;;69;9,4;4,3;
2025/01/05;0300 UTC;0;962,2;962,2;961,9;;27,6;;28,9;27,6;;;;;;64;9,4;3,4;
2025/01/05;0400 UTC;0;962,2;962,3;962,1;;26,7;;27,6;26,7;;;;;;58;8,5;4,2;
2025/01/05;0500 UTC;0;962,1;962,2;962;;26;;26,7;26;;;;;;55;8,5;3;
2025/01/05;0600 UTC;0;962,3;962,3;962;;25,4;;26;25,4;;;;;;86;6,2;2,3;
2025/01/05;0700 UTC;0;962,3;962,3;962,2;;25,2;;25,4;25,1;;;;;;87;6,2;2,5;
2025/01/05;0800 UTC;0;962,8;962,8;962,3;;25,1;;25,3;25;;;;;;65;7,5;2,6;
2025/01/05;0900 UTC;0;963,1;963,1;962,8;85,1;24,6;;25,1;23,8;;;;;;121;5,4;1;
2025/01/05;1000 UTC;0;963,3;963,4;963;853,8;26,5;;26,6;24,6;;;;;;77;4,6;2,3;
2025/01/05;1100 UTC;0;963,4;963,5;963,3;1933,1;27,6;;27,9;26,6;;;;;;43;5,7;2,8;
2025/01/05;1200 UTC;0;963,1;963,5;963,1;3100,8;30,1;;30,2;27,5;;;;;;82;5,8;2,4;
2025/01/05;1300 UTC;0;962,7;963,2;962,7;3892,5;31,2;;32;30,1;;;;;;55;6,4;2,2;
2025/01/05;1400 UTC;0;961,9;962,7;961,9;4481,1;33,2;;33,3;31;;;;;;46;4,8;2,3;
2025/01/05;1500 UTC;0;960,9;961,9;960,9;4798,5;34,5;;35,3;33,2;;;;;;27;5,4;1,8;
2025/01/05;1600 UTC;0;959,8;960,9;959,8;4693,3;36,7;;36,8;34,1;;;;;;58;4,3;2;
2025/01/05;1700 UTC;0;958,9;959,8;958,9;3545,1;37;;37,8;35,5;;;;;;40;5,1;2,4;
2025/01/05;1800 UTC;0;958,7;958,9;958,6;1315;31,4;;37,2;31,4;;;;;;86;8,6;2,9;
2025/01/05;1900 UTC;,2;958,6;959,2;958,4;388,8;30,5;;33,4;27,9;;;;;;179;12,6;3,3;
2025/01/05;2000 UTC;0;958,2;958,6;958;163;32,9;;33,3;30,4;;;;;;248;7,1;1,5;
2025/01/05;2100 UTC;0;959,2;959,3;958,2;35,2;32,3;;32,9;32;;;;;;159;7,2;2,7;
2025/01/05;2200 UTC;0;959,7;959,8;959,2;;31,5;;32,3;31,5;;;;;;218;7,2;1,5;
2025/01/05;2300 UTC;0;960,5;960,5;959,7;;30,7;;31,5;30,7;;;;;;188;4,6;1,6;
2025/01/06;0000 UTC;0;961,2;961,2;960,5;;30,2;;30,7;30,2;;;;;;147;6,6;3;
2025/01/06;0100 UTC;0;962;962;961,2;;29,2;;30,2;29,2;;;;;;150;5,5;2,1;
2025/01/06;0200 UTC;0;961,8;962;961,8;;27,7;;29,2;27,7;;;;;;122;4,6;2,7;
2025/01/06;0300 UTC;0;961,8;962,1;961,8;;26,6;;27,8;26,6;;;;;;115;5,1;2,2;
2025/01/06;0400 UTC;0;961,7;961,8;961,5;;26,5;;26,6;26,4;;;;;;98;6,9;2,5;
2025/01/06;0500 UTC;0;961,5;961,8;961,5;;25,4;;26,5;25,4;;;;;;90;5,7;1,9;
2025/01/06;0600 UTC;0;961,1;961,5;961,1;;25,7;;25,9;25,3;;;;;;44;6,5;3,3;
2025/01/06;0700 UTC;0;961,6;961,6;961,1;;25;;25,7;25;;;;;;30;7,7;2,3;
2025/01/06;0800 UTC;0;962,2;962,2;961,6;;24,4;;25;24,3;;;;;;43;4;1,1;
2025/01/06;0900 UTC;0;962,7;962,7;962,2;120,8;24,8;;24,8;24,4;;;;;;63;4,1;1,8;
2025/01/06;1000 UTC;0;962,8;962,9;962,6;859;25,5;;26,2;24,8;;;;;;57;4,2;1,3;
2025/01/06;1100 UTC;0;963,2;963,3;962,8;1849;27,9;;28,1;25,5;;;;;;50;3,4;1,4;
2025/01/06;1200 UTC;0;963,5;963,6;963,2;2923,6;29,5;;29,6;27,3;;;;;;140;7,1;3;
2025/01/06;1300 UTC;0;962,9;963,5;962,9;3855,1;31,3;;31,4;29;;;;;;115;7,1;3;
2025/01/06;1400 UTC;0;962,2;962,9;962,2;4240,9;32,5;;33,4;31,1;;;;;;75;6,5;2,3;
2025/01/06;1500 UTC;0;961,4;962,2;961,4;3780,2;34,5;;35,1;32,5;;;;;;81;6,6;2,1;
2025/01/06;1600 UTC;0;960,5;961,4;960,5;3945,1;34,9;;35,8;33,5;;;;;;169;8,5;3,6;
2025/01/06;1700 UTC;0;959,3;960,5;959,3;2798,1;34,5;;36,2;34,3;;;;;;180;9,7;5,4;
2025/01/06;1800 UTC;0;958,5;959,3;958,5;3294,3;36,4;;36,9;34,5;;;;;;172;9,3;3,7;
2025/01/06;1900 UTC;0;958,8;959,1;958,3;1927,6;32,9;;36,7;32,9;;;;;;70;9,5;5,2;
2025/01/06;2000 UTC;0;958,9;959,1;958,8;360,7;31,5;;32,9;31,3;;;;;;12;10;2,4;
2025/01/06;2100 UTC;0;959,2;959,3;958,9;108,5;31,7;;31,8;31,4;;;;;;346;4,3;1,7;
2025/01/06;2200 UTC;0;959,6;959,6;959,2;;31,6;;31,7;31;;;;;;246;3;1,1;
2025/01/06;2300 UTC;0;960,9;960,9;959,6;;30,2;;31,7;30,2;;;;;;156;7,9;4,1;
2025/01/07;0000 UTC;0;961,7;961,7;960,9;;28,5;;30,2;28,5;;;;;;168;8,2;5;
2025/01/07;0100 UTC;0;962,6;962,7;961,7;;27,6;;28,5;27,6;;;;;;159;8,3;4,1;
2025/01/07;0200 UTC;0;962,4;962,7;962,4;;26,7;;27,6;26,7;;;;;;136;7,4;2,9;
2025/01/07;0300 UTC;0;962,1;962,5;962,1;;26,2;;26,7;26,2;;;;;;148;4,8;2,5;
2025/01/07;0400 UTC;0;961,5;962,1;961,5;;25,2;;26,2;25,2;;;;;;141;4,5;2,6;
2025/01/07;0500 UTC;0;961,6;961,6;961,4;;24,4;;25,2;24,4;;;;;;133;4,3;2,5;
2025/01/07;0600 UTC;0;962;962;961,6;;24,3;;24,6;24,3;;;;;;145;4;1,9;
2025/01/07;0700 UTC;0;962,4;962,4;961,9;;23,7;;24,3;23,7;;;;;;155;3,5;1,8;
2025/01/07;0800 UTC;0;962,8;962,8;962,4;;23,4;;23,7;23,1;;;;;;141;3,6;1,7;
2025/01/07;0900 UTC;0;963,4;963,4;962,8;56;23,5;;23,6;23,2;;;;;;148;3,1;1,5;
2025/01/07;1000 UTC;0;964,1;964,1;963,4;544,8;25,1;;25,1;23,5;;;;;;129;3,8;1,8;
2025/01/07;1100 UTC;0;963,9;964,2;963,9;1706,3;27,6;;27,6;25,2;;;;;;60;5,2;2,2;
2025/01/07;1200 UTC;0;963,8;964;963,8;3081,5;28,3;;28,3;27,1;;;;;;33;5,2;2,2;
2025/01/07;1300 UTC;0;963,4;963,8;963,4;3978,1;29,6;;29,8;27,8;;;;;;20;4,9;2,1;
2025/01/07;1400 UTC;0;962,7;963,4;962,7;4607,4;31,3;;31,9;29,5;;;;;;7;4,5;1,3;
2025/01/07;1500 UTC;0;961,7;962,7;961,7;4830;33,8;;34,2;31,3;;;;;;67;4,6;1,6;
2025/01/07;1600 UTC;0;960,4;961,7;960,4;4751,5;35,3;;36,4;33,3;;;;;;36;5;2,5;
2025/01/07;1700 UTC;0;959,4;960,4;959,4;4128,7;35,6;;36,9;35;;;;;;49;6,3;1,8;
2025/01/07;1800 UTC;0;958,8;959,4;958,8;3276,7;35,6;;37,3;35,5;;;;;;106;4,6;1,6;
