REGIAO:;N
UF:;TO
ESTACAO:;PALMAS
CODIGO (WMO):;A009
LATITUDE:;-10,14777777
LONGITUDE:;-48,31444444
ALTITUDE:;267
DATA DE FUNDACAO:;17/12/04
Data;Hora UTC;PRECIPITAO TOTAL, HORRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m);TEMPERATURA DO AR - BULBO SECO, HORARIA (C);TEMPERATURA DO PONTO DE ORVALHO (C);TEMPERATURA MXIMA NA HORA ANT. (AUT) (C);TEMPERATURA MNIMA NA HORA ANT. (AUT) (C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREO HORARIA (gr) ( (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;0100 UTC;0;979,9;979,9;979,6;;;;;;;;;;;228;1,6;,6;
2025/01/01;0200 UTC;0;980,2;980,3;979,9;;;;;;;;;;;226;1,6;0;
2025/01/01;0300 UTC;0;980,5;980,5;980,2;;;;;;;;;;;218;1,8;,2;
2025/01/01;0400 UTC;0;980,2;980,5;980,2;;;;;;;;;;;205;1,5;0;
2025/01/01;0500 UTC;0;979,8;980,2;979,8;;;;;;;;;;;223;,9;0;
2025/01/01;0600 UTC;0;979,7;979,8;979,4;;;;;;;;;;;228;2,1;0;
2025/01/01;0700 UTC;0;979,4;979,8;979,3;;;;;;;;;;;215;2,1;,2;
2025/01/01;0800 UTC;0;979,5;979,6;979,3;;;;;;;;;;;267;1,9;0;
2025/01/01;0900 UTC;0;980,1;980,1;979,5;;;;;;;;;;;225;1,9;,7;
2025/01/01;1000 UTC;0;980,6;980,7;980,1;260,7;;;;;;;;;;217;1,9;0;
2025/01/01;1100 UTC;0;981,4;981,4;980,6;1114;;;;;;;;;;207;3,3;,4;
2025/01/01;1200 UTC;0;981,8;981,8;981,4;2390,8;;;;;;;;;;231;3,6;,8;
2025/01/01;1300 UTC;0;982,1;982,1;981,7;2841,8;;;;;;;;;;232;4,7;1,9;
2025/01/01;1400 UTC;0;982,1;982,2;982,1;3470,8;;;;;;;;;;237;5,2;2,8;
2025/01/01;1500 UTC;0;981,3;982,1;981,3;2722,1;;;;;;;;;;239;5,2;2,9;
2025/01/01;1600 UTC;20,4;980,8;981,3;980,8;2005,3;;;;;;;;;;234;8,4;2,1;
2025/01/01;1700 UTC;3;980,1;980,8;980,1;1925,6;;;;;;;;;;228;9,5;2,6;
2025/01/01;1800 UTC;1,8;978,4;980,1;978,4;1819,9;;;;;;;;;;216;5,5;1,9;
2025/01/01;1900 UTC;3;977,7;978,4;977,7;1896,8;;;;;;;;;;241;6,5;2,8;
2025/01/01;2000 UTC;,2;977,5;977,9;977,5;791,1;;;;;;;;;;207;6,7;1,3;
2025/01/01;2100 UTC;0;977,8;977,9;977,5;523,7;;;;;;;;;;184;4,6;1,2;
2025/01/01;2200 UTC;0;978;978;977,7;49,8;;;;;;;;;;229;3,2;,1;
2025/01/01;2300 UTC;0;978,7;978,7;978;;;;;;;;;;;235;2,5;1,4;
2025/01/02;0000 UTC;0;979,3;979,4;978,7;;;;;;;;;;;231;2,5;0;
2025/01/02;0100 UTC;0;980,2;980,2;979,3;;;;;;;;;;;189;1,7;,1;
2025/01/02;0200 UTC;0;980,6;980,6;980,1;;;;;;;;;;;230;2,8;0;
2025/01/02;0300 UTC;0;980;980,6;980;;;;;;;;;;;195;2,3;0;
2025/01/02;0400 UTC;0;979,7;980,1;979,7;;;;;;;;;;;223;1,9;,1;
2025/01/02;0500 UTC;0;979,3;979,8;979,2;;;;;;;;;;;213;2,2;,1;
2025/01/02;0600 UTC;0;979;979,5;979;;;;;;;;;;;215;2,4;,3;
2025/01/02;0700 UTC;0;978,9;979;978,7;;;;;;;;;;;222;2,7;,7;
2025/01/02;0800 UTC;0;979,1;979,1;978,7;;;;;;;;;;;224;2,4;,1;
2025/01/02;0900 UTC;0;980;980;979,1;;;;;;;;;;;226;1,7;0;
2025/01/02;1000 UTC;0;980,4;980,4;980;260,7;;;;;;;;;;229;2,5;,8;
2025/01/02;1100 UTC;0;980,9;980,9;980,4;1182,1;;;;;;;;;;222;2,5;,4;
2025/01/02;1200 UTC;0;981,6;981,6;980,9;1911,9;;;;;;;;;;221;4,2;1,3;
2025/01/02;1300 UTC;0;982;982;981,6;2584,3;;;;;;;;;;230;4,9;1,7;
2025/01/02;1400 UTC;0;981,5;982;981,4;2100;;;;;;;;;;228;6,1;3,2;
2025/01/02;1500 UTC;21,8;982,4;982,4;981,4;555,4;;;;;;;;;;236;11,7;5,5;
2025/01/02;1600 UTC;33,2;981,9;983,2;981,9;165,2;;;;;;;;;;227;11,4;,8;
2025/01/02;1700 UTC;1,8;979,5;981,9;979,5;845,9;;;;;;;;;;212;3,4;1,3;
2025/01/02;1800 UTC;0;979,6;979,6;979,1;2183,6;;;;;;;;;;210;3;,1;
2025/01/02;1900 UTC;0;979,5;980,1;979,4;1120,8;;;;;;;;;;248;12;1,7;
2025/01/02;2000 UTC;,2;979,4;979,6;979,2;706,3;;;;;;;;;;258;3,1;,7;
2025/01/02;2100 UTC;0;980,2;980,2;979,4;125,2;;;;;;;;;;246;4,5;2,5;
2025/01/02;2200 UTC;0;980,2;980,3;980;12,4;;;;;;;;;;267;3,7;,5;
2025/01/02;2300 UTC;0;980,5;980,6;980,2;;;;;;;;;;;244;1,8;,6;
2025/01/03;0000 UTC;,2;981,4;981,4;980,4;;;;;;;;;;;236;2,5;0;
2025/01/03;0100 UTC;0;982,1;982,1;981,4;;;;;;;;;;;190;1,5;,2;
2025/01/03;0200 UTC;0;982,2;982,2;982;;;;;;;;;;;221;2,4;,1;
2025/01/03;0300 UTC;0;981,9;982,2;981,9;;;;;;;;;;;177;2,4;,4;
2025/01/03;0400 UTC;0;981,3;981,9;981,3;;;;;;;;;;;223;2,6;,2;
2025/01/03;0500 UTC;0;980,5;981,3;980,5;0;;;;;;;;;;224;2,5;,6;
2025/01/03;0600 UTC;0;980,3;980,5;980,3;;;;;;;;;;;226;4,9;,6;
2025/01/03;0700 UTC;0;980,2;980,3;980;;;;;;;;;;;210;3;,7;
2025/01/03;0800 UTC;0;980,4;980,4;980,2;;;;;;;;;;;211;3,5;,5;
2025/01/03;0900 UTC;0;980,9;981;980,4;;;;;;;;;;;216;3,3;1,1;
2025/01/03;1000 UTC;0;981,7;981,7;980,9;166,1;;;;;;;;;;226;4,6;1,5;
2025/01/03;1100 UTC;0;982,1;982,1;981,7;1056,9;;;;;;;;;;227;5;2;
2025/01/03;1200 UTC;0;982,7;982,7;982,1;1555,5;;;;;;;;;;233;5,7;2,9;
2025/01/03;1300 UTC;0;983,1;983,2;982,7;1877,5;;;;;;;;;;229;5,9;2,7;
2025/01/03;1400 UTC;0;982,6;983,1;982,6;2940,8;;;;;;;;;;224;6,2;2,7;
2025/01/03;1500 UTC;0;982,2;982,7;982,2;3404,5;;;;;;;;;;227;5,6;2,2;
2025/01/03;1600 UTC;0;981,4;982,2;981,3;3708,8;;;;;;;;;;232;7,1;3,4;
2025/01/03;1700 UTC;0;979,9;981,4;979,9;3434,5;;;;;;;;;;240;6,9;3,8;
2025/01/03;1800 UTC;0;979,3;979,9;979,3;3247,9;;;;;;;;;;231;6,4;3,2;
2025/01/03;1900 UTC;0;978,4;979,3;978,4;2529,5;;;;;;;;;;235;6,4;3,5;
2025/01/03;2000 UTC;0;977,8;978,4;977,8;2117,9;;;;;;;;;;237;6,7;2,8;
2025/01/03;2100 UTC;0;978,1;978,1;977,8;972,7;;;;;;;;;;238;5;1,9;
2025/01/03;2200 UTC;0;978,5;978,5;978,1;200,8;;;;;;;;;;243;3,1;0;
2025/01/03;2300 UTC;,2;978;978,6;977,9;;;;;;;;;;;224;7,8;2,3;
2025/01/04;0000 UTC;;;;;;;;;;;;;;;;;;
2025/01/04;0100 UTC;;;;;;;;;;;;;;;;;;
2025/01/04;0200 UTC;0;980,4;980,4;979,7;;;;;;;;;;;224;3,2;1,1;
2025/01/04;0300 UTC;0;980,5;980,5;980,3;;;;;;;;;;;218;2,6;,9;
2025/01/04;0400 UTC;0;980,1;980,5;980;;;;;;;;;;;224;2,6;1,2;
2025/01/04;0500 UTC;0;979,6;980,1;979,5;;;;;;;;;;;196;3;,1;
2025/01/04;0600 UTC;0;979,4;979,6;979,4;;;;;;;;;;;224;2;0;
2025/01/04;0700 UTC;0;979,5;979,6;979,4;;;;;;;;;;;215;,9;0;
2025/01/04;0800 UTC;0;979,5;979,6;979,4;;;;;;;;;;;232;2,3;1,1;
2025/01/04;0900 UTC;0;979,8;979,8;979,5;;;;;;;;;;;197;2,4;,9;
2025/01/04;1000 UTC;0;980;980;979,8;248,8;;;;;;;;;;223;1,9;,1;
2025/01/04;1100 UTC;0;980,4;980,4;980;1007;;;;;;;;;;223;1,7;0;
2025/01/04;1200 UTC;,2;980,8;980,9;980,4;1918;;;;;;;;;;241;2,4;,9;
2025/01/04;1300 UTC;0;980,7;980,9;980,7;2680,4;;;;;;;;;;243;3,8;1,9;
2025/01/04;1400 UTC;0;980,9;980,9;980,7;2594,3;;;;;;;;;;243;5;3,2;
2025/01/04;1500 UTC;1,6;980,2;980,9;980,2;561,5;;;;;;;;;;235;8,8;5,2;
2025/01/04;1600 UTC;3;979,4;980,8;979,4;267,9;;;;;;;;;;218;8,8;1,7;
2025/01/04;1700 UTC;,2;978,2;979,6;978,2;329,6;;;;;;;;;;212;3,8;2,2;
2025/01/04;1800 UTC;0;977,5;978,6;977,3;242,2;;;;;;;;;;196;3,6;,8;
2025/01/04;1900 UTC;0;977,5;977,6;977,1;172;;;;;;;;;;188;2,4;,1;
2025/01/04;2000 UTC;,2;977,3;978,1;977,3;176,9;;;;;;;;;;234;7,3;,6;
2025/01/04;2100 UTC;0;976,8;977,3;976,7;200,8;;;;;;;;;;232;2,4;,6;
2025/01/04;2200 UTC;0;977,6;977,6;976,8;30,7;;;;;;;;;;222;1,9;,5;
2025/01/04;2300 UTC;0;978,9;978,9;977,6;;;;;;;;;;;245;2;,3;
2025/01/05;0000 UTC;;;;;;;;;;;;;;;;;;
2025/01/05;0100 UTC;;;;;;;;;;;;;;;;;;
2025/01/05;0200 UTC;;;;;;;;;;;;;;;;;;
2025/01/05;0300 UTC;;;;;;;;;;;;;;;;;;
2025/01/05;0400 UTC;0;979,6;979,9;979,5;;;;;;;;;;;231;2,2;1,2;
2025/01/05;0500 UTC;0;978,8;979,6;978,8;;;;;;;;;;;210;2,5;,1;
2025/01/05;0600 UTC;0;978,3;978,9;978,3;;;;;;;;;;;213;1,4;,2;
2025/01/05;0700 UTC;0;978,2;978,4;978,1;;;;;;;;;;;228;1,5;,1;
2025/01/05;0800 UTC;0;979;979;978,2;;;;;;;;;;;213;2,4;,9;
2025/01/05;0900 UTC;0;979,8;979,8;979;,7;;;;;;;;;;212;1,9;,6;
2025/01/05;1000 UTC;0;980,3;980,3;979,8;261,6;;;;;;;;;;226;2,2;,3;
2025/01/05;1100 UTC;0;980,7;980,8;980,3;1029,1;;;;;;;;;;224;2,2;,1;
2025/01/05;1200 UTC;0;981,3;981,3;980,7;1546;;;;;;;;;;250;2,3;,3;
2025/01/05;1300 UTC;,2;981,6;981,7;981,3;1601,8;;;;;;;;;;248;3,8;,1;
2025/01/05;1400 UTC;0;981,4;981,7;981,4;2352,4;;;;;;;;;;234;4,4;2,6;
2025/01/05;1500 UTC;0;980;981,4;980;2803,2;;;;;;;;;;237;5,4;2,9;
2025/01/05;1600 UTC;0;979,7;980;979,3;3101,2;;;;;;;;;;241;8;4,8;
2025/01/05;1700 UTC;0;978,8;979,7;978,8;1820,1;;;;;;;;;;242;7,6;2,2;
2025/01/05;1800 UTC;0;978,5;978,9;978,5;361,9;;;;;;;;;;232;7,7;3,6;
2025/01/05;1900 UTC;2;979,1;979,1;978,1;183,1;;;;;;;;;;245;6,8;2,4;
2025/01/05;2000 UTC;2,4;979,3;979,3;978,7;101,8;;;;;;;;;;212;8,1;,3;
2025/01/05;2100 UTC;,4;980,7;980,7;979,3;25,6;;;;;;;;;;222;5;1,7;
2025/01/05;2200 UTC;6;981,3;981,6;980,6;;;;;;;;;;;242;5,4;,8;
2025/01/05;2300 UTC;4;981,1;981,4;981;;;;;;;;;;;234;3,5;1,2;
2025/01/06;0000 UTC;1,2;981,5;981,5;981,1;;;;;;;;;;;246;3,5;,2;
2025/01/06;0100 UTC;,4;982,3;982,3;981,5;;;;;;;;;;;192;1,7;0;
2025/01/06;0200 UTC;0;982;982,4;982;;;;;;;;;;;210;2;,6;
2025/01/06;0300 UTC;0;981,2;982;981,2;;;;;;;;;;;208;2,3;0;
2025/01/06;0400 UTC;0;980,5;981,2;980,5;;;;;;;;;;;172;2,3;,3;
2025/01/06;0500 UTC;0;980,1;980,5;979,9;;;;;;;;;;;217;2,6;0;
2025/01/06;0600 UTC;0;980;980,1;980;0;;;;;;;;;;224;3;,9;
2025/01/06;0700 UTC;0;979,4;980;979,4;;;;;;;;;;;208;3,1;,1;
2025/01/06;0800 UTC;0;979,4;979,5;979,3;;;;;;;;;;;206;2,1;,2;
2025/01/06;0900 UTC;0;980;980;979,4;;;;;;;;;;;227;2;0;
2025/01/06;1000 UTC;,2;980,9;980,9;980;177,9;;;;;;;;;;237;1,5;,6;
2025/01/06;1100 UTC;0;981,9;981,9;980,9;531,1;;;;;;;;;;242;2,3;,4;
2025/01/06;1200 UTC;0;982,7;982,7;981,9;975,5;;;;;;;;;;224;3,6;1,6;
2025/01/06;1300 UTC;0;983,3;983,4;982,7;1289,1;;;;;;;;;;227;3,1;,5;
2025/01/06;1400 UTC;0;983,3;983,4;983,3;1852,2;;;;;;;;;;228;3,8;2;
2025/01/06;1500 UTC;0;982,9;983,3;982,9;1423,2;;;;;;;;;;227;4;1,6;
2025/01/06;1600 UTC;0;981,9;982,9;981,9;2773,3;;;;;;;;;;236;4,7;2,4;
2025/01/06;1700 UTC;0;980,7;981,9;980,7;3980,5;;;;;;;;;;237;6;2,9;
2025/01/06;1800 UTC;0;979,6;980,7;979,6;2949,2;;;;;;;;;;231;5,7;2,7;
2025/01/06;1900 UTC;0;978,6;979,6;978,6;2147;;;;;;;;;;232;6,8;3,2;
2025/01/06;2000 UTC;0;978,1;978,6;978,1;1505,6;;;;;;;;;;229;5,6;2,3;
2025/01/06;2100 UTC;0;978,4;978,4;978,1;424,2;;;;;;;;;;232;4,2;,9;
2025/01/06;2200 UTC;0;979;979;978,4;67,1;;;;;;;;;;249;2,7;0;
2025/01/06;2300 UTC;0;979,9;979,9;979;;;;;;;;;;;212;1,9;1;
2025/01/07;0000 UTC;0;980,8;980,8;979,9;;;;;;;;;;;232;2,4;1,5;
2025/01/07;0100 UTC;0;981,4;981,5;980,8;;;;;;;;;;;234;2,5;,6;
2025/01/07;0200 UTC;0;981,8;981,8;981,4;;;;;;;;;;;225;2,9;0;
2025/01/07;0300 UTC;0;981,7;981,8;981,6;;;;;;;;;;;223;2;0;
2025/01/07;0400 UTC;0;980,9;981,7;980,9;;;;;;;;;;;237;1,9;0;
2025/01/07;0500 UTC;0;980,5;980,9;980,5;;;;;;;;;;;229;,9;0;
2025/01/07;0600 UTC;0;980;980,5;980;;;;;;;;;;;227;1,7;0;
2025/01/07;0700 UTC;0;979,8;980;979,7;;;;;;;;;;;232;1,5;0;
2025/01/07;0800 UTC;0;979,6;979,9;979,6;;;;;;;;;;;202;1,5;,2;
2025/01/07;0900 UTC;0;979,9;979,9;979,5;;;;;;;;;;;234;2,1;0;
2025/01/07;1000 UTC;0;980,7;980,7;979,9;188;;;;;;;;;;213;1,2;0;
2025/01/07;1100 UTC;0;981,3;981,3;980,7;979,5;;;;;;;;;;248;3,1;,1;
2025/01/07;1200 UTC;0;981,9;981,9;981,3;1780,7;;;;;;;;;;226;2,2;,3;
2025/01/07;1300 UTC;0;982,2;982,2;981,9;2283,5;;;;;;;;;;244;4,5;2,6;
2025/01/07;1400 UTC;0;982,2;982,3;982,2;3387,5;;;;;;;;;;256;5;1,7;
2025/01/07;1500 UTC;0;981,6;982,2;981,6;3356,6;;;;;;;;;;244;4,9;2,3;
2025/01/07;1600 UTC;0;980,5;981,6;980,5;1902,2;;;;;;;;;;251;4,6;2,1;
2025/01/07;1700 UTC;0;979;980,5;979;2521,5;;;;;;;;;;252;4,5;2,5;
2025/01/07;1800 UTC;0;977,8;979;977,8;1194,1;;;;;;;;;;243;4,4;2,2;
2025/01/07;1900 UTC;0;977,6;977,8;977,5;1593,6;;;;;;;;;;243;4,6;2,6;
2025/01/07;2000 UTC;0;977,5;977,6;977,4;1244,4;;;;;;;;;;249;4,1;2,3;
2025/01/07;2100 UTC;0;977,4;977,5;977,3;383,4;;;;;;;;;;238;4,2;1,7;
2025/01/07;2200 UTC;0;978,6;978,6;977,4;37,5;;;;;;;;;;227;3;0;
2025/01/07;2300 UTC;0;979,2;979,2;978,6;;;;;;;;;;;163;2,3;,6;
2025/01/08;0000 UTC;0;980,7;980,7;979,2;;;;;;;;;;;223;3,1;1,8;
2025/01/08;0100 UTC;0;981;981;980,7;;;;;;;;;;;225;3,1;1,9;
2025/01/08;0200 UTC;0;981,2;981,4;981;;;;;;;;;;;220;3,3;1,7;
2025/01/08;0300 UTC;0;980,7;981,2;980,7;;;;;;;;;;;220;3,1;1,8;
2025/01/08;0400 UTC;0;980,3;980,8;980,2;;;;;;;;;;;246;4,5;,5;
2025/01/08;0500 UTC;0;980,2;980,4;980,1;;;;;;;;;;;236;3,3;,5;
2025/01/08;0600 UTC;0;979,6;980,2;979,5;;;;;;;;;;;216;2,3;0;
2025/01/08;0700 UTC;0;979,8;979,8;979,5;;;;;;;;;;;225;1,3;0;
2025/01/08;0800 UTC;9,8;980,2;980,2;979,8;;;;;;;;;;;224;4;,8;
2025/01/08;0900 UTC;36,8;981,2;981,2;980,2;;;;;;;;;;;227;4,3;,2;
2025/01/08;1000 UTC;4,2;981,9;981,9;981,2;17;;;;;;;;;;236;4,1;2,2;
2025/01/08;1100 UTC;1;981,9;982;981,8;204,8;;;;;;;;;;238;3,6;0;
2025/01/08;1200 UTC;0;982,7;982,7;981,9;614,6;;;;;;;;;;227;1,4;,1;
2025/01/08;1300 UTC;0;982,8;983;982,7;1195,2;;;;;;;;;;233;2,2;,3;
2025/01/08;1400 UTC;0;982,4;982,8;982,4;1710,4;;;;;;;;;;247;2,3;,2;
2025/01/08;1500 UTC;0;981,6;982,4;981,6;2705,6;;;;;;;;;;241;4,6;2,7;
2025/01/08;1600 UTC;0;980,8;981,6;980,8;2901;;;;;;;;;;252;4,9;1,9;
2025/01/08;1700 UTC;0;979,7;980,8;979,7;2752,2;;;;;;;;;;244;6,3;2,8;
2025/01/08;1800 UTC;0;978,4;979,7;978,4;1874,3;;;;;;;;;;240;7,4;3,8;
2025/01/08;1900 UTC;,4;978,1;978,6;978,1;984,3;;;;;;;;;;257;8,2;2,2;
2025/01/08;2000 UTC;0;978,3;978,3;977,9;878,7;;;;;;;;;;237;7,5;2,9;
2025/01/08;2100 UTC;2,2;979;979;978,3;122,7;;;;;;;;;;234;5,6;,2;
2025/01/08;2200 UTC;0;979,4;979,4;979;66,1;;;;;;;;;;231;2,5;,5;
2025/01/08;2300 UTC;0;979,8;979,9;979,4;;;;;;;;;;;211;2,5;,2;
2025/01/09;0000 UTC;0;980,1;980,1;979,8;;;;;;;;;;;222;2,2;,3;
2025/01/09;0100 UTC;0;980,5;980,5;980,1;;;;;;;;;;;206;2;0;
2025/01/09;0200 UTC;;;;;;;;;;;;;;;;;;
2025/01/09;0300 UTC;0;980,6;981;980,6;;;;;;;;;;;167;1,9;,6;
2025/01/09;0400 UTC;0;980,1;980,7;980,1;;;;;;;;;;;231;2,2;,2;
2025/01/09;0500 UTC;0;979,8;980,1;979,8;;;;;;;;;;;213;2;,1;
2025/01/09;0600 UTC;0;979,5;979,8;979,5;;;;;;;;;;;236;2;1,5;
2025/01/09;0700 UTC;0;979;979,5;979;;;;;;;;;;;227;2,5;1,4;
2025/01/09;0800 UTC;,2;978,9;979;978,8;;;;;;;;;;;229;2,4;,3;
2025/01/09;0900 UTC;0;979,4;979,4;978,9;;;;;;;;;;;203;2,2;,2;
2025/01/09;1000 UTC;0;980,4;980,4;979,4;119,3;;;;;;;;;;228;1,6;0;
2025/01/09;1100 UTC;0;981;981;980,4;421,1;;;;;;;;;;215;1,6;,2;
2025/01/09;1200 UTC;0;981,3;981,3;981;918,4;;;;;;;;;;234;2,3;,7;
2025/01/09;1300 UTC;0;981,5;981,5;981,3;2124;;;;;;;;;;243;3,3;,9;
2025/01/09;1400 UTC;0;981,4;981,6;981,4;3227;;;;;;;;;;245;5,5;2,5;
2025/01/09;1500 UTC;0;980,7;981,4;980,7;3248,3;;;;;;;;;;238;5,5;1,3;
