REGIAO:;SE
UF:;SP
ESTACAO:;BARUERI
CODIGO (WMO):;A755
LATITUDE:;-23,52388888
LONGITUDE:;-46,86944443
ALTITUDE:;776,5
DATA DE FUNDACAO:;29/03/11
Data;Hora UTC;PRECIPITAO TOTAL, HORRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m);TEMPERATURA DO AR - BULBO SECO, HORARIA (C);TEMPERATURA DO PONTO DE ORVALHO (C);TEMPERATURA MXIMA NA HORA ANT. (AUT) (C);TEMPERATURA MNIMA NA HORA ANT. (AUT) (C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREO HORARIA (gr) ( (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;;926,4;926,4;926,1;;20,7;18,4;20,8;20,4;18,4;17,9;87;85;87;94;5,6;,7;
2025/01/01;0100 UTC;;926,7;926,7;926,3;;20,3;18,6;20,9;20,1;18,6;18,1;90;86;90;102;3,2;0;
2025/01/01;0200 UTC;;926,7;927;926,7;;19;18,2;20,3;18,9;18,6;18;95;90;95;174;1,5;0;
2025/01/01;0300 UTC;;926,4;926,7;926,4;;18,8;18,5;19;18,7;18,5;18,1;98;95;98;172;1,5;,2;
2025/01/01;0400 UTC;;925,9;926,5;925,9;;20,3;19,2;20,4;18,8;19,9;18,5;100;93;93;82;4,3;1,1;
2025/01/01;0500 UTC;;925,5;925,9;925,5;;19,6;18,3;20,3;19,6;19,1;18,1;93;90;92;88;4,3;,8;
2025/01/01;0600 UTC;;925,4;925,5;925,3;;19,1;18;19,8;19,1;18,5;17,9;93;92;93;77;3;,1;
2025/01/01;0700 UTC;;925,6;925,6;925,3;;19,5;18,5;19,5;19,1;18,5;18;95;93;94;76;2,5;0;
2025/01/01;0800 UTC;;925,8;925,8;925,6;;18,1;17,7;19,5;18;18,5;17,4;97;93;97;207;0;0;
2025/01/01;0900 UTC;;926,3;926,3;925,8;26;18;18;18,1;17,9;18;17,5;100;97;100;198;0;0;
