"codigo","data_dia","data_semana","data_mes","data_ano","lon","lat","chuva","vento","press","temp","umidade","rajada","amp","regiao","uf","estacao","altitude"
"A026",2024-01-01,"2024-1","2024-1",2024,-52.60111111,-17.45472222,0.4,1.71428571428571,916.072727272727,23.1909090909091,90.1818181818182,7.2,7,"CO","GO","MINEIROS",862
"A026",2024-01-02,"2024-1","2024-1",2024,-52.60111111,-17.45472222,22.8,1.15,914.704166666667,23.2583333333333,88.9166666666667,5.3,7.6,"CO","GO","MINEIROS",862
"A026",2024-01-03,"2024-1","2024-1",2024,-52.60111111,-17.45472222,4.4,1.69565217391304,913.960869565217,24.1695652173913,84.9565217391304,14.2,10.7,"CO","GO","MINEIROS",862
"A026",2024-01-04,"2024-1","2024-1",2024,-52.60111111,-17.45472222,1.8,1.53333333333333,914.752380952381,23.747619047619,83.3333333333333,10.7,11.1,"CO","GO","MINEIROS",862
"A026",2024-01-05,"2024-1","2024-1",2024,-52.60111111,-17.45472222,0,1.50434782608696,915.160869565217,24.0652173913043,81.4782608695652,7.3,11.1,"CO","GO","MINEIROS",862
"A026",2024-01-06,"2024-1","2024-1",2024,-52.60111111,-17.45472222,0.2,2.05238095238095,915.4,25.0714285714286,81.5238095238095,10.6,11.8,"CO","GO","MINEIROS",862
"A026",2024-01-07,"2024-1","2024-1",2024,-52.60111111,-17.45472222,0,2.26818181818182,915.454545454545,25.6863636363636,77.8636363636364,7.3,11.5,"CO","GO","MINEIROS",862
"A026",2024-01-08,"2024-2","2024-1",2024,-52.60111111,-17.45472222,13.6,2.455,915.4,24.155,83,17.6,13.4,"CO","GO","MINEIROS",862
"A026",2024-01-09,"2024-2","2024-1",2024,-52.60111111,-17.45472222,0.2,2.385,916.275,24.835,80.75,7.7,10.3,"CO","GO","MINEIROS",862
"A026",2024-01-10,"2024-2","2024-1",2024,-52.60111111,-17.45472222,0,3.5,916.171428571429,24.7619047619048,80.1904761904762,12.9,9.6,"CO","GO","MINEIROS",862
"A026",2024-01-11,"2024-2","2024-1",2024,-52.60111111,-17.45472222,13.6,3.82272727272727,916.818181818182,21.9272727272727,93.4545454545455,11.9,7.2,"CO","GO","MINEIROS",862
"A026",2024-01-12,"2024-2","2024-1",2024,-52.60111111,-17.45472222,0.2,2.61428571428571,915.22380952381,23.9904761904762,85.1428571428571,9.1,10.7,"CO","GO","MINEIROS",862
"A026",2024-01-13,"2024-2","2024-1",2024,-52.60111111,-17.45472222,0.2,1.64285714285714,916.076190476191,24.647619047619,82.4761904761905,7.5,10.2,"CO","GO","MINEIROS",862
"A026",2024-01-14,"2024-2","2024-1",2024,-52.60111111,-17.45472222,2,1.59090909090909,918.209090909091,23.9181818181818,84.4545454545455,7.8,10.8,"CO","GO","MINEIROS",862
"A026",2024-01-15,"2024-3","2024-1",2024,-52.60111111,-17.45472222,3.2,1.23181818181818,919.218181818182,23.5545454545455,84.8636363636364,9.6,10.9,"CO","GO","MINEIROS",862
"A026",2024-01-16,"2024-3","2024-1",2024,-52.60111111,-17.45472222,0.4,1.98181818181818,918.136363636364,25.0136363636364,79.3181818181818,10.5,12,"CO","GO","MINEIROS",862
"A026",2024-01-17,"2024-3","2024-1",2024,-52.60111111,-17.45472222,0,1.48695652173913,918.54347826087,25.9782608695652,72,6.8,13.7,"CO","GO","MINEIROS",862
"A026",2024-01-18,"2024-3","2024-1",2024,-52.60111111,-17.45472222,0,1.27727272727273,917.790909090909,25.55,75.5909090909091,6.4,12.5,"CO","GO","MINEIROS",862
"A026",2024-01-19,"2024-3","2024-1",2024,-52.60111111,-17.45472222,6.2,1.26086956521739,917.65652173913,25.5434782608696,71.5652173913043,8.8,15.5,"CO","GO","MINEIROS",862
"A026",2024-01-20,"2024-3","2024-1",2024,-52.60111111,-17.45472222,0,1.79130434782609,916.869565217391,24.4478260869565,80.4782608695652,7.6,11.7,"CO","GO","MINEIROS",862
"A026",2024-01-21,"2024-3","2024-1",2024,-52.60111111,-17.45472222,0.8,1.66818181818182,917.045454545455,24.7318181818182,80.6818181818182,8.1,10.8,"CO","GO","MINEIROS",862
"A026",2024-01-22,"2024-4","2024-1",2024,-52.60111111,-17.45472222,9.8,2.55416666666667,917.325,23.9083333333333,86.2916666666667,12.1,9.7,"CO","GO","MINEIROS",862
"A026",2024-01-23,"2024-4","2024-1",2024,-52.60111111,-17.45472222,9,1.66363636363636,915.472727272727,23.2772727272727,88.0454545454545,7.9,8.9,"CO","GO","MINEIROS",862
"A026",2024-01-24,"2024-4","2024-1",2024,-52.60111111,-17.45472222,0.6,1.56363636363636,913.85,24.3590909090909,82.0909090909091,7.5,10.2,"CO","GO","MINEIROS",862
"A026",2024-01-25,"2024-4","2024-1",2024,-52.60111111,-17.45472222,0,1.6,913.981818181818,24.4590909090909,73.2727272727273,6.7,9.9,"CO","GO","MINEIROS",862
"A026",2024-01-26,"2024-4","2024-1",2024,-52.60111111,-17.45472222,0,1.53913043478261,915.04347826087,23.9782608695652,65.6521739130435,6.3,14.3,"CO","GO","MINEIROS",862
"A026",2024-01-27,"2024-4","2024-1",2024,-52.60111111,-17.45472222,0,1.82857142857143,915.438095238095,24.2714285714286,64.9047619047619,7.5,15.5,"CO","GO","MINEIROS",862
"A026",2024-01-28,"2024-4","2024-1",2024,-52.60111111,-17.45472222,0,1.91739130434783,916.678260869565,25.0391304347826,60.4347826086956,10.5,15.1,"CO","GO","MINEIROS",862
"A026",2024-01-29,"2024-5","2024-1",2024,-52.60111111,-17.45472222,0,2.22727272727273,918.222727272727,25.2545454545455,62.3181818181818,10.2,13.2,"CO","GO","MINEIROS",862
"A026",2024-01-30,"2024-5","2024-1",2024,-52.60111111,-17.45472222,0.6,1.62173913043478,918.273913043478,22.704347826087,85.6521739130435,6,7.1,"CO","GO","MINEIROS",862
"A026",2024-01-31,"2024-5","2024-1",2024,-52.60111111,-17.45472222,4.8,1.55714285714286,917.190476190476,24.0714285714286,74.2857142857143,8.3,14.3,"CO","GO","MINEIROS",862
"A026",2024-02-01,"2024-5","2024-2",2024,-52.60111111,-17.45472222,13,1.8,917.895238095238,23.1857142857143,80.8095238095238,17,12,"CO","GO","MINEIROS",862
"A026",2024-02-02,"2024-5","2024-2",2024,-52.60111111,-17.45472222,0.4,1.81363636363636,918.277272727273,23.55,77.9545454545455,8.6,12.5,"CO","GO","MINEIROS",862
"A026",2024-02-03,"2024-5","2024-2",2024,-52.60111111,-17.45472222,23.6,2.74761904761905,918.571428571429,21.4857142857143,83.6190476190476,12.2,7.7,"CO","GO","MINEIROS",862
"A026",2024-02-04,"2024-5","2024-2",2024,-52.60111111,-17.45472222,0,2.07142857142857,918.547619047619,23.2809523809524,80.7142857142857,8.9,8.9,"CO","GO","MINEIROS",862
"A026",2024-02-05,"2024-6","2024-2",2024,-52.60111111,-17.45472222,22.8,1.63181818181818,918.45,22.0681818181818,90.5454545454545,9.6,7,"CO","GO","MINEIROS",862
"A026",2024-02-06,"2024-6","2024-2",2024,-52.60111111,-17.45472222,0,1.89090909090909,918.727272727273,24.2363636363636,74.7272727272727,8.1,13,"CO","GO","MINEIROS",862
"A026",2024-02-07,"2024-6","2024-2",2024,-52.60111111,-17.45472222,0,1.78181818181818,917.8,24.8363636363636,79.7272727272727,10,11,"CO","GO","MINEIROS",862
"A026",2024-02-08,"2024-6","2024-2",2024,-52.60111111,-17.45472222,15.6,1.645,916.845,22.91,89.05,6.8,10.6,"CO","GO","MINEIROS",862
"A026",2024-02-09,"2024-6","2024-2",2024,-52.60111111,-17.45472222,10.8,1.30952380952381,917.014285714286,23.1,83.7619047619048,10.4,13.6,"CO","GO","MINEIROS",862
"A026",2024-02-10,"2024-6","2024-2",2024,-52.60111111,-17.45472222,5.8,1.82272727272727,917.036363636364,23.5,84.6818181818182,8.3,10.5,"CO","GO","MINEIROS",862
"A026",2024-02-11,"2024-6","2024-2",2024,-52.60111111,-17.45472222,0,3.11904761904762,917.504761904762,23.8,83.1904761904762,11.1,10.7,"CO","GO","MINEIROS",862
"A026",2024-02-12,"2024-7","2024-2",2024,-52.60111111,-17.45472222,1.4,3.59090909090909,919.381818181818,24.4363636363636,77.0454545454545,11,11.6,"CO","GO","MINEIROS",862
"A026",2024-02-13,"2024-7","2024-2",2024,-52.60111111,-17.45472222,0,1.44090909090909,920.295454545455,24.2227272727273,74.5909090909091,7.1,13.6,"CO","GO","MINEIROS",862
"A026",2024-02-14,"2024-7","2024-2",2024,-52.60111111,-17.45472222,0,1.39047619047619,919.828571428571,25.047619047619,73,11.3,13.4,"CO","GO","MINEIROS",862
"A026",2024-02-15,"2024-7","2024-2",2024,-52.60111111,-17.45472222,5.6,1.77619047619048,919.447619047619,24.0428571428571,82.0476190476191,12.6,10.5,"CO","GO","MINEIROS",862
"A026",2024-02-16,"2024-7","2024-2",2024,-52.60111111,-17.45472222,2.2,1.415,917.965,25.795,72.75,9.8,11.3,"CO","GO","MINEIROS",862
"A026",2024-02-17,"2024-7","2024-2",2024,-52.60111111,-17.45472222,16.4,1.86190476190476,916.933333333333,23.5238095238095,86.7142857142857,10.6,10.7,"CO","GO","MINEIROS",862
"A026",2024-02-18,"2024-7","2024-2",2024,-52.60111111,-17.45472222,44.8,1.36086956521739,916.417391304348,22.0130434782609,93.7826086956522,9.1,5.8,"CO","GO","MINEIROS",862
"A026",2024-02-19,"2024-8","2024-2",2024,-52.60111111,-17.45472222,19,2.41818181818182,914.4,22.3454545454545,92.1363636363636,10.8,8.5,"CO","GO","MINEIROS",862
"A026",2024-02-20,"2024-8","2024-2",2024,-52.60111111,-17.45472222,0,1.66666666666667,912.319047619048,24.0142857142857,81.7619047619048,8.9,9.5,"CO","GO","MINEIROS",862
"A026",2024-02-21,"2024-8","2024-2",2024,-52.60111111,-17.45472222,1,1.57272727272727,912.336363636364,23.9772727272727,78.8636363636364,8.3,10.7,"CO","GO","MINEIROS",862
"A026",2024-02-22,"2024-8","2024-2",2024,-52.60111111,-17.45472222,0,1.91739130434783,913.978260869565,23.4565217391304,81.4782608695652,8.3,9.9,"CO","GO","MINEIROS",862
"A026",2024-02-23,"2024-8","2024-2",2024,-52.60111111,-17.45472222,0.4,2.33913043478261,916.752173913044,23.5478260869565,83.4782608695652,8.4,10.3,"CO","GO","MINEIROS",862
"A026",2024-02-24,"2024-8","2024-2",2024,-52.60111111,-17.45472222,0.8,2.855,919.485,25.13,80.05,10.7,11.1,"CO","GO","MINEIROS",862
"A026",2024-02-25,"2024-8","2024-2",2024,-52.60111111,-17.45472222,1.4,1.5625,920.666666666667,23.975,81.2083333333333,12.2,13.6,"CO","GO","MINEIROS",862
"A026",2024-02-26,"2024-9","2024-2",2024,-52.60111111,-17.45472222,33.2,1.70952380952381,918.580952380952,24.3571428571429,79.9523809523809,19.1,12.8,"CO","GO","MINEIROS",862
"A026",2024-02-27,"2024-9","2024-2",2024,-52.60111111,-17.45472222,0.2,1.92631578947368,916.921052631579,26.0526315789474,68.7368421052632,7.3,13.6,"CO","GO","MINEIROS",862
"A026",2024-02-28,"2024-9","2024-2",2024,-52.60111111,-17.45472222,0,1.9695652173913,917.404347826087,25.804347826087,65.5217391304348,9.1,14.8,"CO","GO","MINEIROS",862
"A026",2024-02-29,"2024-9","2024-2",2024,-52.60111111,-17.45472222,0,1.51052631578947,918.226315789474,27.2578947368421,64.3684210526316,7.5,15.4,"CO","GO","MINEIROS",862
"A026",2024-03-01,"2024-9","2024-3",2024,-52.60111111,-17.45472222,10.2,1.45909090909091,917.6,26.2772727272727,68.6818181818182,9,14.9,"CO","GO","MINEIROS",862
"A026",2024-03-02,"2024-9","2024-3",2024,-52.60111111,-17.45472222,3.4,1.42727272727273,916.972727272727,25.0045454545455,77.6363636363636,16.4,13.8,"CO","GO","MINEIROS",862
"A026",2024-03-03,"2024-9","2024-3",2024,-52.60111111,-17.45472222,0,1.4952380952381,916.390476190476,24.9285714285714,76.9047619047619,12.8,13.6,"CO","GO","MINEIROS",862
"A026",2024-03-04,"2024-10","2024-3",2024,-52.60111111,-17.45472222,18,1.65416666666667,917.0125,23.2041666666667,86.4166666666667,8.1,9.3,"CO","GO","MINEIROS",862
"A026",2024-03-05,"2024-10","2024-3",2024,-52.60111111,-17.45472222,0,2.22380952380952,917.314285714286,24.6333333333333,82.2857142857143,10.4,10,"CO","GO","MINEIROS",862
"A026",2024-03-06,"2024-10","2024-3",2024,-52.60111111,-17.45472222,0.8,1.99565217391304,917.365217391304,23.8260869565217,86.0869565217391,11.5,9.6,"CO","GO","MINEIROS",862
"A026",2024-03-07,"2024-10","2024-3",2024,-52.60111111,-17.45472222,0.2,1.37272727272727,918.409090909091,24.2772727272727,82.5909090909091,10.2,12.4,"CO","GO","MINEIROS",862
"A026",2024-03-08,"2024-10","2024-3",2024,-52.60111111,-17.45472222,7.4,1.52608695652174,918.308695652174,25.1260869565217,81.5217391304348,9.8,12.9,"CO","GO","MINEIROS",862
"A026",2024-03-09,"2024-10","2024-3",2024,-52.60111111,-17.45472222,0,1.45416666666667,917.675,25.8291666666667,77.9166666666667,7.4,12.9,"CO","GO","MINEIROS",862
"A026",2024-03-10,"2024-10","2024-3",2024,-52.60111111,-17.45472222,4,1.64090909090909,918.3,24.65,84.4090909090909,9.2,9.5,"CO","GO","MINEIROS",862
"A026",2024-03-11,"2024-11","2024-3",2024,-52.60111111,-17.45472222,1.8,1.58260869565217,917.947826086957,24.5173913043478,86.3478260869565,7,10.7,"CO","GO","MINEIROS",862
"A026",2024-03-12,"2024-11","2024-3",2024,-52.60111111,-17.45472222,0,1.59090909090909,918.054545454545,26.7727272727273,78.5,7,10.5,"CO","GO","MINEIROS",862
"A026",2024-03-13,"2024-11","2024-3",2024,-52.60111111,-17.45472222,0,1.7695652173913,918.121739130435,25.7565217391304,80.3913043478261,11.8,12.9,"CO","GO","MINEIROS",862
"A026",2024-03-14,"2024-11","2024-3",2024,-52.60111111,-17.45472222,10.2,1.78333333333333,918.1,24.2083333333333,83.875,9.5,13.3,"CO","GO","MINEIROS",862
"A026",2024-03-15,"2024-11","2024-3",2024,-52.60111111,-17.45472222,0.6,1.55909090909091,916.413636363636,25.5454545454545,79.0454545454545,8.5,12.4,"CO","GO","MINEIROS",862
"A026",2024-03-16,"2024-11","2024-3",2024,-52.60111111,-17.45472222,0,1.8304347826087,915.517391304348,25.2,82.5652173913043,9.9,10.5,"CO","GO","MINEIROS",862
"A026",2024-03-17,"2024-11","2024-3",2024,-52.60111111,-17.45472222,0,2.18181818181818,916.918181818182,25.0954545454545,83.2272727272727,8.3,10.7,"CO","GO","MINEIROS",862
"A026",2024-03-18,"2024-12","2024-3",2024,-52.60111111,-17.45472222,0,1.3695652173913,917.052173913043,26.0173913043478,77.2608695652174,6.3,12.5,"CO","GO","MINEIROS",862
"A026",2024-03-19,"2024-12","2024-3",2024,-52.60111111,-17.45472222,36.6,1.40416666666667,916.316666666667,24.925,82.2083333333333,12,11.6,"CO","GO","MINEIROS",862
"A026",2024-03-20,"2024-12","2024-3",2024,-52.60111111,-17.45472222,22.8,1.43913043478261,914.760869565217,24.2652173913043,86.8695652173913,6.9,11.2,"CO","GO","MINEIROS",862
"A026",2024-03-21,"2024-12","2024-3",2024,-52.60111111,-17.45472222,23.6,1.72916666666667,916.008333333333,24.1875,88.4583333333333,9.9,9.9,"CO","GO","MINEIROS",862
"A026",2024-03-22,"2024-12","2024-3",2024,-52.60111111,-17.45472222,4,1.5625,916.741666666667,23.1791666666667,90.7083333333333,9.4,8.5,"CO","GO","MINEIROS",862
"A026",2024-03-23,"2024-12","2024-3",2024,-52.60111111,-17.45472222,10,1.97272727272727,916.363636363636,22.8954545454545,90.9545454545455,9.1,7.4,"CO","GO","MINEIROS",862
"A026",2024-03-24,"2024-12","2024-3",2024,-52.60111111,-17.45472222,41,1.4125,916.625,22.4666666666667,90.625,8.3,8.3,"CO","GO","MINEIROS",862
"A026",2024-03-25,"2024-13","2024-3",2024,-52.60111111,-17.45472222,43.6,1.28333333333333,915.8875,22.3916666666667,92.0833333333333,8,6.9,"CO","GO","MINEIROS",862
"A026",2024-03-26,"2024-13","2024-3",2024,-52.60111111,-17.45472222,29.8,1.23478260869565,916.6,20.9695652173913,95.4782608695652,7.3,2.8,"CO","GO","MINEIROS",862
"A026",2024-03-27,"2024-13","2024-3",2024,-52.60111111,-17.45472222,18.4,1.6625,917.245833333333,21.1,95.4583333333333,6.3,3.6,"CO","GO","MINEIROS",862
"A026",2024-03-28,"2024-13","2024-3",2024,-52.60111111,-17.45472222,2.2,1.7,918.991304347826,21.6782608695652,93.4782608695652,9.2,4,"CO","GO","MINEIROS",862
"A026",2024-03-29,"2024-13","2024-3",2024,-52.60111111,-17.45472222,0,1.64090909090909,919.186363636364,23.9636363636364,83.3181818181818,9.6,10.8,"CO","GO","MINEIROS",862
"A026",2024-03-30,"2024-13","2024-3",2024,-52.60111111,-17.45472222,3.6,1.32916666666667,918.695833333333,24.4833333333333,84.5,7.3,11.2,"CO","GO","MINEIROS",862
"A026",2024-03-31,"2024-13","2024-3",2024,-52.60111111,-17.45472222,1.2,1.21304347826087,918.24347826087,24.2782608695652,85.7826086956522,10.7,10.9,"CO","GO","MINEIROS",862
"A026",2024-04-01,"2024-14","2024-4",2024,-52.60111111,-17.45472222,0.2,1.69166666666667,916.883333333333,24.5666666666667,83.6666666666667,7.7,11.9,"CO","GO","MINEIROS",862
"A026",2024-04-02,"2024-14","2024-4",2024,-52.60111111,-17.45472222,32.8,1.075,917.166666666667,22.4958333333333,90.7916666666667,8.1,8.6,"CO","GO","MINEIROS",862
"A026",2024-04-03,"2024-14","2024-4",2024,-52.60111111,-17.45472222,8.8,1.4875,916.520833333333,23.8875,88.3333333333333,9,9.6,"CO","GO","MINEIROS",862
"A026",2024-04-04,"2024-14","2024-4",2024,-52.60111111,-17.45472222,0,1.64166666666667,917.204166666667,24.5333333333333,82.4583333333333,11.8,11.2,"CO","GO","MINEIROS",862
"A026",2024-04-05,"2024-14","2024-4",2024,-52.60111111,-17.45472222,5,1.54166666666667,917.775,24.6958333333333,81.875,6.7,11.3,"CO","GO","MINEIROS",862
"A026",2024-04-06,"2024-14","2024-4",2024,-52.60111111,-17.45472222,16.8,1.40416666666667,917.079166666667,23.8708333333333,88.3333333333333,8.3,9.4,"CO","GO","MINEIROS",862
"A026",2024-04-07,"2024-14","2024-4",2024,-52.60111111,-17.45472222,8,1.89166666666667,917.091666666667,23.9291666666667,89.1666666666667,12.3,9.1,"CO","GO","MINEIROS",862
"A026",2024-04-08,"2024-15","2024-4",2024,-52.60111111,-17.45472222,0,1.8625,917.125,24.0666666666667,88.25,9.4,9.2,"CO","GO","MINEIROS",862
"A026",2024-04-09,"2024-15","2024-4",2024,-52.60111111,-17.45472222,0.2,1.74166666666667,916.795833333333,24.0708333333333,87.9583333333333,8.4,8.9,"CO","GO","MINEIROS",862
"A026",2024-04-10,"2024-15","2024-4",2024,-52.60111111,-17.45472222,0,1.94583333333333,916.020833333333,24.4875,83.7083333333333,8.3,9.9,"CO","GO","MINEIROS",862
"A026",2024-04-11,"2024-15","2024-4",2024,-52.60111111,-17.45472222,22.8,1.69166666666667,916.9125,23.4625,88.2083333333333,9.2,8.7,"CO","GO","MINEIROS",862
"A026",2024-04-12,"2024-15","2024-4",2024,-52.60111111,-17.45472222,45.2,1.57916666666667,917.725,23.0708333333333,89.25,9.7,8.9,"CO","GO","MINEIROS",862
"A026",2024-04-13,"2024-15","2024-4",2024,-52.60111111,-17.45472222,6.2,1.82916666666667,917.254166666667,23.4708333333333,89.2083333333333,10.6,9.7,"CO","GO","MINEIROS",862
"A026",2024-04-14,"2024-15","2024-4",2024,-52.60111111,-17.45472222,10.4,2.11666666666667,916.766666666667,23.1916666666667,89.0833333333333,13.1,8.2,"CO","GO","MINEIROS",862
"A026",2024-04-15,"2024-16","2024-4",2024,-52.60111111,-17.45472222,0.8,2.17916666666667,916.633333333333,24.0083333333333,85.75,9.3,8.7,"CO","GO","MINEIROS",862
"A026",2024-04-16,"2024-16","2024-4",2024,-52.60111111,-17.45472222,0.2,1.74347826086957,918.173913043478,24.6,81.3478260869565,8.6,10.2,"CO","GO","MINEIROS",862
"A026",2024-04-17,"2024-16","2024-4",2024,-52.60111111,-17.45472222,0,1.51666666666667,918.629166666667,23.875,84.1666666666667,7.8,10.8,"CO","GO","MINEIROS",862
"A026",2024-04-18,"2024-16","2024-4",2024,-52.60111111,-17.45472222,0.2,2.03333333333333,918.0375,23.6875,86.875,7.3,8.7,"CO","GO","MINEIROS",862
"A026",2024-04-19,"2024-16","2024-4",2024,-52.60111111,-17.45472222,0,1.82083333333333,918.170833333333,22.95,84.7916666666667,6.1,10.8,"CO","GO","MINEIROS",862
"A026",2024-04-20,"2024-16","2024-4",2024,-52.60111111,-17.45472222,0,1.575,918.8,24.2958333333333,83.0833333333333,7.6,11.2,"CO","GO","MINEIROS",862
"A026",2024-04-21,"2024-16","2024-4",2024,-52.60111111,-17.45472222,0,1.70833333333333,918.691666666667,24.6958333333333,74.4583333333333,7.4,11,"CO","GO","MINEIROS",862
