"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"16/03/2024";"0000";"24,6";"24,8";"24,6";"90,0";"90,0";"90,0";"22,9";"23,0";"22,9";"1009,9";"1009,9";"1007,5";"";"";"";"";"0,0"
"16/03/2024";"0100";"24,1";"24,6";"24,1";"90,0";"90,0";"90,0";"22,5";"22,9";"22,4";"1009,1";"1009,9";"1008,7";"";"";"";"";"0,0"
"16/03/2024";"0200";"24,1";"24,2";"24,1";"91,0";"91,0";"90,0";"22,5";"22,6";"22,4";"1008,9";"1009,1";"1008,6";"";"";"";"";"0,0"
"16/03/2024";"0300";"24,4";"24,5";"24,1";"91,0";"91,0";"91,0";"22,9";"22,9";"22,5";"1008,2";"1008,9";"1008,0";"";"";"";"";"0,0"
"16/03/2024";"0400";"23,4";"24,4";"23,4";"91,0";"92,0";"91,0";"22,0";"22,8";"21,9";"1007,5";"1008,2";"1007,5";"";"";"";"";"0,0"
"16/03/2024";"0500";"24,4";"24,4";"23,5";"92,0";"92,0";"91,0";"23,0";"23,0";"22,1";"1007,0";"1007,6";"1007,0";"";"";"";"";"0,0"
"16/03/2024";"0600";"24,4";"24,4";"24,4";"92,0";"92,0";"92,0";"23,1";"23,1";"22,9";"1006,8";"1007,2";"1006,8";"";"";"";"";"0,0"
"16/03/2024";"0700";"24,3";"24,4";"24,3";"92,0";"92,0";"92,0";"23,0";"23,1";"23,0";"1006,5";"1006,8";"1006,5";"";"";"";"";"0,0"
"16/03/2024";"0800";"23,9";"24,4";"23,8";"93,0";"93,0";"92,0";"22,7";"23,1";"22,5";"1006,5";"1006,5";"1006,1";"";"";"";"";"0,0"
"16/03/2024";"0900";"23,6";"24,1";"23,6";"93,0";"93,0";"93,0";"22,4";"22,9";"22,4";"1006,4";"1006,5";"1006,1";"";"";"";"";"0,0"
"16/03/2024";"1000";"23,5";"23,6";"23,2";"93,0";"93,0";"93,0";"22,3";"22,4";"22,0";"1006,7";"1006,7";"1006,3";"";"";"";"41,40";"0,0"
"16/03/2024";"1100";"24,5";"24,7";"23,5";"93,0";"94,0";"93,0";"23,3";"23,5";"22,3";"1007,2";"1007,6";"1006,7";"";"";"";"425,40";"0,0"
"16/03/2024";"1200";"24,8";"25,0";"24,4";"92,0";"93,0";"92,0";"23,5";"23,8";"23,1";"1007,6";"1007,8";"1007,2";"";"";"";"1001,10";"0,0"
"16/03/2024";"1300";"25,6";"25,6";"24,4";"88,0";"92,0";"88,0";"23,5";"23,6";"22,9";"1007,5";"1007,7";"1007,4";"";"";"";"1089,60";"0,0"
"16/03/2024";"1400";"25,5";"26,0";"25,5";"87,0";"88,0";"86,0";"23,1";"23,7";"23,1";"1007,2";"1007,5";"1006,9";"";"";"";"791,50";"0,0"
"16/03/2024";"1500";"25,9";"26,1";"25,5";"86,0";"87,0";"86,0";"23,4";"23,8";"23,1";"1007,2";"1007,6";"1007,2";"";"";"";"692,20";"0,0"
"16/03/2024";"1600";"25,6";"25,9";"25,3";"86,0";"87,0";"86,0";"23,2";"23,4";"22,8";"1007,6";"1007,6";"1007,1";"";"";"";"485,20";"0,0"
"16/03/2024";"1700";"25,1";"26,0";"25,1";"86,0";"87,0";"86,0";"22,6";"23,5";"22,6";"1007,1";"1007,6";"1007,1";"";"";"";"462,20";"0,2"
"16/03/2024";"1800";"25,3";"25,3";"24,9";"86,0";"86,0";"85,0";"22,7";"22,7";"22,2";"1006,5";"1007,1";"1006,2";"";"";"";"355,60";"0,4"
"16/03/2024";"1900";"25,5";"25,5";"25,2";"88,0";"88,0";"86,0";"23,4";"23,4";"22,7";"1006,2";"1006,6";"1006,2";"";"";"";"365,10";"0,2"
"16/03/2024";"2000";"25,3";"25,5";"25,2";"89,0";"89,0";"88,0";"23,3";"23,5";"23,2";"1005,1";"1006,2";"1005,0";"";"";"";"358,40";"0,0"
"16/03/2024";"2100";"25,2";"25,4";"25,2";"90,0";"90,0";"89,0";"23,4";"23,5";"23,3";"1005,7";"1005,9";"1005,1";"";"";"";"186,00";"0,0"
"16/03/2024";"2200";"24,9";"25,2";"24,9";"90,0";"90,0";"90,0";"23,1";"23,4";"23,1";"1006,8";"1006,8";"1005,7";"";"";"";"26,60";"0,0"
"16/03/2024";"2300";"24,6";"24,9";"24,5";"91,0";"91,0";"90,0";"22,9";"23,1";"22,8";"1005,9";"1006,9";"1005,8";"";"";"";"";"0,0"
"17/03/2024";"0000";"24,4";"24,6";"24,3";"91,0";"91,0";"91,0";"22,8";"23,0";"22,7";"1006,5";"1006,7";"1005,3";"";"";"";"";"0,0"
"17/03/2024";"0100";"24,8";"24,8";"24,1";"91,0";"91,0";"91,0";"23,3";"23,3";"22,5";"1007,4";"1007,9";"1006,5";"";"";"";"";"0,0"
"17/03/2024";"0200";"24,6";"24,8";"24,5";"91,0";"91,0";"91,0";"23,1";"23,3";"23,0";"1008,0";"1008,1";"1007,4";"";"";"";"";"0,0"
"17/03/2024";"0300";"23,6";"24,6";"23,0";"91,0";"91,0";"90,0";"22,1";"23,1";"21,4";"1007,8";"1008,2";"1007,6";"";"";"";"1,00";"0,0"
"17/03/2024";"0400";"23,3";"23,7";"23,3";"90,0";"91,0";"90,0";"21,7";"22,1";"21,7";"1007,5";"1007,9";"1007,5";"";"";"";"";"0,0"
"17/03/2024";"0500";"22,4";"23,3";"22,4";"91,0";"91,0";"90,0";"20,8";"21,6";"20,8";"1007,3";"1007,6";"1007,3";"";"";"";"";"0,0"
"17/03/2024";"0600";"22,4";"22,5";"22,0";"91,0";"91,0";"91,0";"20,9";"20,9";"20,5";"1007,1";"1007,3";"1006,9";"";"";"";"";"0,0"
"17/03/2024";"0700";"22,5";"22,6";"22,4";"91,0";"92,0";"91,0";"21,0";"21,1";"20,8";"1007,8";"1007,9";"1007,0";"";"";"";"";"0,0"
"17/03/2024";"0800";"22,6";"22,6";"22,1";"92,0";"92,0";"91,0";"21,2";"21,2";"20,7";"1008,1";"1008,1";"1007,8";"";"";"";"";"0,0"
"17/03/2024";"0900";"22,5";"23,0";"22,5";"92,0";"92,0";"92,0";"21,1";"21,6";"21,1";"1008,7";"1008,8";"1008,1";"";"";"";"";"0,0"
